"module","version","license","repository"
"abbrev","1.0.7","ISC","https://github.com/isaacs/abbrev-js"
"ansi-regex","0.2.1","MIT","https://github.com/sindresorhus/ansi-regex"
"ansi-styles","1.1.0","MIT","https://github.com/sindresorhus/ansi-styles"
"asap","2.0.3","MIT","git+https://github.com/kriskowal/asap"
"balanced-match","0.2.0","MIT","https://github.com/juliangruber/balanced-match"
"brace-expansion","1.1.0","MIT","https://github.com/juliangruber/brace-expansion"
"chalk","0.5.1","MIT","https://github.com/sindresorhus/chalk"
"cli-table","0.3.1","UNKNOWN","https://github.com/Automattic/cli-table"
"colors","1.0.3","MIT","http://github.com/Marak/colors.js"
"commander","2.8.1","MIT","https://github.com/tj/commander.js"
"concat-map","0.0.1","MIT","https://github.com/substack/node-concat-map"
"debug","2.2.0","MIT","https://github.com/visionmedia/debug"
"debuglog","1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"dezalgo","1.0.3","ISC","git+https://github.com/npm/dezalgo"
"escape-string-regexp","1.0.3","MIT","https://github.com/sindresorhus/escape-string-regexp"
"github-url-from-git","1.4.0","MIT","https://github.com/visionmedia/node-github-url-from-git"
"github-url-from-username-repo","1.0.2","BSD-2-Clause","https://github.com/robertkowalski/github-url-from-username-repo"
"glob","5.0.14","ISC","https://github.com/isaacs/node-glob"
"graceful-fs","3.0.8","ISC","https://github.com/isaacs/node-graceful-fs"
"graceful-fs","4.1.2","ISC","git+https://github.com/isaacs/node-graceful-fs"
"graceful-readlink","1.0.1","MIT","https://github.com/zhiyelee/graceful-readlink"
"has-ansi","0.1.0","MIT","https://github.com/sindresorhus/has-ansi"
"inflight","1.0.4","ISC","https://github.com/isaacs/inflight"
"inherits","2.0.1","ISC","https://github.com/isaacs/inherits"
"jju","1.2.1","WTFPL","https://github.com/rlidwka/jju"
"json-parse-helpfulerror","1.0.3","MIT","https://github.com/smikes/json-parse-helpfulerror"
"json2csv","2.12.0","SEE LICENSE IN LICENSE.md","git+https://github.com/zemirco/json2csv"
"license-checker","4.1.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"lodash._baseget","3.7.2","MIT","git+https://github.com/lodash/lodash"
"lodash._topath","3.8.1","MIT","git+https://github.com/lodash/lodash"
"lodash.get","3.7.0","MIT","https://github.com/lodash/lodash"
"lodash.isarray","3.0.4","MIT","git+https://github.com/lodash/lodash"
"minimatch","2.0.10","ISC","https://github.com/isaacs/minimatch"
"mkdirp","0.3.5","MIT","http://github.com/substack/node-mkdirp"
"ms","0.7.1","MIT*","https://github.com/guille/ms.js"
"nopt","2.2.1","MIT","http://github.com/isaacs/nopt"
"normalize-package-data","1.0.3","BSD*","https://github.com/meryn/normalize-package-data"
"once","1.3.2","ISC","https://github.com/isaacs/once"
"path-is-absolute","1.0.0","MIT","https://github.com/sindresorhus/path-is-absolute"
"read-installed","3.1.5","ISC","https://github.com/isaacs/read-installed"
"read-package-json","1.3.3","ISC","https://github.com/isaacs/read-package-json"
"readdir-scoped-modules","1.0.2","ISC","git+https://github.com/npm/readdir-scoped-modules"
"semver","4.3.6","ISC","https://github.com/npm/node-semver"
"slide","1.1.6","ISC","https://github.com/isaacs/slide-flow-control"
"strip-ansi","0.3.0","MIT","https://github.com/sindresorhus/strip-ansi"
"supports-color","0.2.0","MIT","https://github.com/sindresorhus/supports-color"
"treeify","1.0.1","MIT","https://github.com/notatestuser/treeify"
"util-extend","1.0.1","MIT","https://github.com/isaacs/util-extend"
"wrappy","1.0.1","ISC","https://github.com/npm/wrappy"
"wyclub_node-license-export","0.0.1","MIT",